,issue_date,loan_amnt,loan_status,term,int_rate,installment,sub_grade,verification_status,addr_state,total_paymnt
3707,5-15,18350.0,1,0,21.99,506.71,26,1,West,3490.93
3689,5-15,30000.0,1,0,16.99,745.42,18,1,MidWest,6788.72
3686,5-15,10000.0,1,1,0.99,327.34,9,0,0,10054.96
3669,5-15,6000.0,1,1,0.99,196.41,9,1,West,1567.62
3654,5-15,12000.0,1,1,0.99,387.15,8,1,South,2703.39
3649,5-15,5000.0,1,1,0.89,156.43,5,0,MidWest,1089.53
3638,5-15,11750.0,1,1,0.24,358.74,2,0,South,2865.85
3622,5-15,25000.0,1,0,13.33,573.06,13,1,South,4565.97
3621,5-15,9000.0,1,1,0.29,300.18,11,1,West,9580.4
3619,5-15,12000.0,1,0,15.61,289.34,16,1,East,2014.97
3691,5-15,8000.0,1,1,15.61,279.72,16,1,South,2223.88
3840,5-15,10000.0,1,1,17.57,359.38,19,1,East,2855.52
3842,5-15,10000.0,1,1,0.17,318.79,7,0,West,2794.91
3845,5-15,8000.0,1,0,0.89,250.29,5,1,West,1995.31
4074,5-15,18450.0,1,1,0.99,603.95,9,1,South,4199.49
4064,5-15,28000.0,1,0,13.33,641.83,13,1,South,7319.59
4047,5-15,35000.0,1,1,21.67,1330.7,25,1,South,10603.46
4040,5-15,5000.0,1,1,0.92,154.21,4,0,South,1216.38
4038,5-15,24000.0,1,0,15.61,578.68,16,1,South,0
4037,5-15,15400.0,1,0,13.33,440.92,13,1,East,2801.27
4013,5-15,25000.0,1,0,22.99,704.62,27,1,MidWest,4852.51
4012,5-15,7000.0,1,1,0.69,234.82,12,1,South,1631.4
4003,5-15,14000.0,1,0,21.99,386.59,26,1,MidWest,2689.03
3980,5-15,4000.0,1,1,17.57,143.75,19,1,South,1146.1
3972,5-15,9600.0,1,1,0.89,440.92,5,1,South,2398.59
3965,5-15,10400.0,1,1,0.99,340.44,9,1,West,2710.82
3961,5-15,20425.0,1,0,20.99,552.45,25,1,East,17790.88
3956,5-15,20475.0,1,1,13.99,699.69,14,1,South,5581.61
3951,5-15,18000.0,1,0,0.39,550.79,2,0,South,4415.65
3930,5-15,25000.0,1,1,13.99,854.32,14,1,West,5960.81
3926,5-15,30825.0,1,0,17.86,780.41,20,1,South,6212.69
3925,5-15,28000.0,1,0,13.99,956.84,14,1,South,7632.96
3915,5-15,10000.0,1,1,0.99,327.34,9,0,South,2616.19
3897,5-15,20000.0,1,1,0.26,619.93,4,1,MidWest,4331.44
3874,5-15,5000.0,1,1,0.89,156.43,5,0,South,1249.25
3613,5-15,11150.0,1,0,25.78,440.92,30,1,South,2310.76
4098,5-15,22000.0,1,1,0.69,737.99,12,1,South,0
3612,5-15,21000.0,1,0,0.99,446.09,8,1,East,3198.38
3584,5-15,15000.0,1,1,16.55,531.44,17,1,East,4223.94
3070,5-15,9500.0,1,1,16.55,336.58,17,1,South,2338.59
2999,5-15,25000.0,1,0,0.18,509.07,6,1,0,4083.92
2973,5-15,9600.0,1,1,0.26,297.57,4,0,South,9960.47
2923,5-15,13000.0,0,1,0.29,433.59,11,1,West,3486.46
2918,5-15,6000.0,1,1,0.29,200.12,11,1,East,1596.86
2905,5-15,12000.0,1,0,15.61,289.34,16,1,MidWest,2014.97
2902,5-15,8000.0,1,1,0.17,255.04,7,1,West,2032.17
2884,5-15,10000.0,1,1,0.89,312.86,5,0,East,2494.11
2879,5-15,4000.0,1,1,0.17,127.52,7,1,South,1016.08
3073,5-15,24000.0,1,0,0.17,500.19,10,1,South,3989.29
2849,5-15,20000.0,1,1,0.89,625.72,5,1,South,4988.23
2838,5-15,8000.0,1,1,0.53,263.93,10,0,East,2101.19
2825,5-15,26000.0,1,0,0.17,541.87,7,1,West,4321.71
2820,5-15,26000.0,1,1,0.24,793.81,2,1,MidWest,6341.47
2817,5-15,20050.0,1,1,16.55,710.36,17,1,West,0
2801,5-15,2000.0,1,1,0.89,62.58,5,0,South,2008.33
2786,5-15,5000.0,1,1,0.69,167.73,12,1,South,0
2781,5-15,4000.0,1,1,0.99,130.94,10,0,West,4256.46
2779,5-15,6000.0,1,1,0.39,183.6,2,0,MidWest,1291.32
2777,5-15,6000.0,1,1,15.61,209.79,16,1,MidWest,1458.12
2839,5-15,9950.0,1,1,0.53,328.26,10,1,East,2291.45
3092,5-15,20000.0,1,0,14.65,472.14,15,0,South,3264.29
3121,5-15,15000.0,1,1,0.18,471.3,6,0,South,3763.58
3134,5-15,21000.0,1,1,0.53,692.8,10,1,West,5515.5
3583,5-15,5000.0,1,1,0.29,166.77,11,1,West,1327.33
3559,5-15,8475.0,1,1,14.65,292.34,15,0,South,2039.48
3538,5-15,35000.0,1,0,16.99,1247.68,18,1,West,36730.25
3523,5-15,26000.0,1,1,0.24,793.81,2,1,East,5538.64
3506,5-15,15000.0,1,1,0.92,462.61,4,0,East,3695.11
3444,5-15,20000.0,1,1,0.39,611.98,2,1,East,4330.01
3439,5-15,10000.0,1,1,0.89,312.86,5,0,South,2494.11
3435,5-15,14000.0,1,0,0.99,297.39,8,0,West,2363.58
3403,5-15,8000.0,1,1,0.17,255.04,7,1,South,2036.24
3365,5-15,21000.0,1,1,13.33,710.92,13,1,West,5656.26
3342,5-15,18100.0,1,1,13.33,612.75,13,1,West,4294.11
3313,5-15,30000.0,1,0,18.55,770.81,22,1,South,5974.49
3301,5-15,1600.0,1,1,0.53,52.79,10,0,MidWest,466.97
3294,5-15,10000.0,1,1,13.99,440.92,14,1,West,2726.07
3291,5-15,16150.0,1,1,16.99,575.72,18,0,West,4625.28
3204,5-15,12000.0,1,1,13.99,410.08,14,0,MidWest,3261.99
3200,5-15,22225.0,1,1,14.65,766.64,15,1,East,5330.3
3162,5-15,1800.0,1,1,0.18,56.56,6,0,MidWest,394.28
3156,5-15,3500.0,1,1,0.53,115.47,10,0,MidWest,812.76
3153,5-15,16500.0,1,0,0.99,350.5,8,1,MidWest,2430.61
3141,5-15,20000.0,1,0,13.99,465.27,14,1,MidWest,3706.62
3591,5-15,13000.0,1,1,16.55,460.58,17,1,West,3283.81
2773,5-15,30000.0,1,1,16.99,1069.44,18,1,South,8527.2
4105,5-15,24000.0,1,1,13.33,812.48,13,1,West,5651.81
4109,5-15,8500.0,1,1,0.17,270.98,7,1,MidWest,2163.51
4996,5-15,16000.0,1,1,0.26,495.94,4,1,South,3961.07
4971,5-15,8000.0,1,1,0.39,244.8,2,0,East,1955.56
4945,5-15,8000.0,1,1,0.92,246.73,4,0,MidWest,8254.47
4940,5-15,4000.0,1,1,0.92,123.37,4,0,South,985.42
4930,5-15,16000.0,1,1,0.93,486.25,1,1,0,3879.46
4918,5-15,17950.0,1,0,16.55,441.78,17,1,West,3075.96
4906,5-15,20050.0,0,1,16.99,714.74,18,1,MidWest,5699.0
4901,5-15,20000.0,1,1,0.17,637.58,7,1,MidWest,20620.16
4871,5-15,27925.0,1,0,20.99,755.31,25,1,West,5205.76
5014,5-15,10000.0,1,1,0.18,314.2,6,0,West,2504.51
4867,5-15,12075.0,1,0,15.61,440.92,16,1,South,2308.26
4829,5-15,25000.0,1,1,13.99,854.32,15,1,West,5941.38
4816,5-15,22000.0,1,1,0.69,440.92,12,1,East,5888.41
4804,5-15,27200.0,1,0,0.39,832.3,2,1,East,6677.71
4800,5-15,12000.0,1,0,16.99,298.17,18,0,South,2362.71
4783,5-15,6000.0,1,1,0.53,197.95,10,1,MidWest,0
4777,5-15,10000.0,1,1,0.99,322.63,8,0,MidWest,10359.99
4718,5-15,9600.0,1,1,13.33,324.99,13,1,West,2585.7
4711,5-15,5000.0,1,1,0.93,151.96,1,1,South,1204.15
4689,5-15,3000.0,1,1,0.99,96.79,8,0,East,770.99
4833,5-15,24000.0,1,0,13.99,558.32,14,1,West,3889.59
5020,5-15,6500.0,1,0,14.65,224.22,15,1,West,1788.47
5022,5-15,12000.0,1,1,0.89,369.93,3,0,0,2578.03
5024,5-15,3000.0,1,1,0.99,96.79,8,0,West,675.87
5250,5-15,17500.0,1,0,16.99,434.83,18,1,East,3027.29
5248,5-15,10775.0,1,1,13.99,368.22,14,0,East,0
5241,5-15,25000.0,1,1,0.99,818.35,9,0,West,6516.27
5225,5-15,20000.0,1,1,7.524344210526315,614.62,3,1,East,7214.4
5222,5-15,14875.0,1,0,0.53,327.37,10,1,South,2267.77
5211,5-15,16000.0,0,0,0.99,339.88,8,1,West,2030.4
5207,5-15,3000.0,1,1,16.55,106.29,17,1,MidWest,738.51
5206,5-15,12000.0,1,0,14.65,283.28,15,1,MidWest,2256.47
5194,5-15,25000.0,1,1,16.99,891.2,18,0,South,7082.41
5184,5-15,35000.0,1,0,21.99,966.47,26,1,East,6722.53
5181,5-15,18000.0,1,1,0.89,563.15,5,0,South,13926.27
5178,5-15,6000.0,0,1,0.69,201.27,12,0,South,1601.7
5120,5-15,6400.0,1,1,7.524344210526315,197.38,4,0,East,1576.58
5117,5-15,15500.0,0,1,0.68,476.34,3,0,MidWest,3804.97
5110,5-15,7625.0,1,1,15.61,266.61,20,1,East,2119.65
5091,5-15,10400.0,1,0,18.25,265.51,21,1,East,2113.54
5090,5-15,8500.0,1,1,0.93,258.32,1,0,West,0
5068,5-15,35000.0,1,0,20.49,936.86,24,1,South,7455.04
5042,5-15,10000.0,1,1,7.524344210526315,303.91,1,0,MidWest,2427.99
5038,5-15,14700.0,1,1,0.69,493.11,12,1,MidWest,3450.55
5029,5-15,12500.0,0,0,22.99,352.31,30,1,MidWest,1017.02
4676,5-15,25000.0,1,1,0.26,440.92,4,1,West,5399.16
4107,5-15,2400.0,1,0,0.92,74.02,4,1,South,519.98
4672,5-15,12600.0,1,0,0.17,262.6,7,1,South,13228.75
4650,5-15,16000.0,1,0,0.99,347.8,9,0,East,16329.07
4312,5-15,28000.0,0,0,13.99,651.37,14,1,West,5189.2
4295,5-15,8000.0,1,1,0.29,266.83,11,1,MidWest,2146.47
4292,5-15,8000.0,1,1,0.99,258.1,10,1,South,1815.9
4266,5-15,3600.0,1,1,15.61,125.88,16,0,East,1012.44
4252,5-15,8000.0,1,1,0.26,247.97,4,0,West,1732.56
4246,5-15,18000.0,1,0,0.29,403.05,11,1,South,2809.06
4237,5-15,5000.0,1,1,0.18,157.1,6,0,East,1252.26
4222,5-15,10000.0,1,1,0.29,333.53,11,1,0,2317.64
4212,5-15,8000.0,1,1,15.61,279.72,16,0,West,8742.44
4318,5-15,6000.0,1,1,0.68,184.39,3,0,West,1461.92
