,issue_date,loan_amnt,loan_status,term,int_rate,installment,sub_grade,verification_status,addr_state,total_paymnt
2291,1-15,20000.0,0,1,13.66,680.26,13,1,South,0
591,1-15,35000.0,1,1,19.99,1300.55,23,1,0,15567.73
592,1-15,6400.0,1,1,0.49,196.13,2,0,West,2348.94
2425,1-15,16000.0,1,1,0.49,512.46,7,1,West,6141.08
8293,1-15,8500.0,1,0,14.31,291.8,14,1,East,3203.04
6521,1-15,20975.0,1,0,0.39,470.73,11,1,South,5163.59
597,1-15,6000.0,1,1,0.99,199.26,10,1,East,2187.86
598,1-15,10000.0,0,1,15.59,349.55,16,0,West,4177.28
4366,1-15,7200.0,1,1,0.99,222.29,3,1,West,2660.49
5344,1-15,25000.0,1,0,0.44,549.07,9,1,South,6023.88
3836,1-15,7000.0,1,1,0.49,217.72,4,1,South,2605.36
590,1-15,10800.0,1,0,20.99,292.12,24,1,West,3480.25
604,1-15,24000.0,1,0,15.59,578.42,16,1,0,6899.47
8303,1-15,35000.0,0,1,16.49,1238.98,18,1,East,6130.77
7289,1-15,15000.0,1,0,18.54,385.33,21,1,South,4223.18
5332,1-15,21000.0,1,1,0.39,701.42,11,1,East,8402.58
2404,1-15,7000.0,1,1,0.99,440.92,10,1,MidWest,2547.84
3844,1-15,15000.0,1,1,0.49,480.43,7,1,East,5268.91
3848,1-15,20000.0,1,1,0.99,617.46,3,1,South,7401.75
615,1-15,15600.0,1,1,0.49,499.65,7,1,West,16548.86
2392,1-15,13375.0,1,1,14.99,463.59,15,1,West,5088.35
3852,1-15,8500.0,1,1,14.99,294.62,15,0,South,9097.15
1121,1-15,21600.0,1,1,0.19,678.77,5,1,South,0
4364,1-15,13925.0,1,0,7.524344210526315,347.13,19,1,East,4152.3
4359,1-15,7200.0,1,1,15.59,251.68,16,1,East,7419.21
2428,1-15,1900.0,1,1,13.66,64.63,13,1,East,708.05
586,1-15,18000.0,1,0,17.14,448.71,19,0,West,0
562,1-15,7500.0,1,1,0.49,240.22,7,0,0,2638.47
8274,1-15,24950.0,1,0,17.14,621.96,19,1,South,6794.04
7330,1-15,23275.0,1,0,13.66,537.48,13,1,East,6414.43
8824,1-15,18700.0,1,0,25.83,558.01,32,1,South,6669.29
1141,1-15,35000.0,1,0,14.31,820.03,14,0,South,8964.68
1140,1-15,10000.0,0,1,13.66,340.13,13,1,East,2713.45
2454,1-15,30000.0,1,1,0.39,1002.03,11,1,East,11972.74
9295,1-15,10200.0,1,1,0.49,317.24,4,1,East,3802.64
5361,1-15,7575.0,1,1,20.99,285.35,24,1,West,3130.02
7327,1-15,20000.0,1,1,0.44,658.95,9,1,0,7223.03
7311,1-15,10000.0,0,1,13.66,340.13,13,1,East,3062.81
8816,1-15,20000.0,0,0,17.14,498.56,19,1,West,4468.0
3797,1-15,25000.0,1,0,0.49,440.92,7,1,West,5747.87
6933,1-15,15000.0,1,1,7.524344210526315,474.7,6,0,South,5214.48
1745,1-15,21500.0,1,0,0.39,482.51,11,1,West,23855.94
3808,1-15,5000.0,1,1,0.39,167.01,11,0,East,1997.24
7320,1-15,6000.0,1,1,0.99,199.26,10,0,South,0
1134,1-15,12000.0,1,0,15.59,289.21,16,1,South,3460.13
7315,1-15,6000.0,1,1,0.99,202.14,12,1,MidWest,0
3818,1-15,19375.0,1,0,0.99,440.75,12,1,East,5275.02
1748,1-15,25000.0,1,0,0.49,524.93,7,1,West,5761.05
2433,1-15,15000.0,1,0,0.67,308.98,6,1,South,3384.33
575,1-15,13975.0,1,1,0.44,460.45,9,1,MidWest,5047.19
621,1-15,5000.0,1,1,0.49,153.23,2,1,South,1835.15
2386,1-15,27000.0,1,1,6.0,821.76,1,1,South,9050.21
9304,1-15,10000.0,1,1,0.39,334.01,11,1,West,3667.23
4898,1-15,20000.0,1,1,0.67,632.93,6,1,MidWest,6942.96
9578,1-15,15000.0,1,0,6.0,456.54,1,1,East,5016.92
2338,1-15,20000.0,1,1,0.67,632.93,6,1,South,6942.96
665,1-15,7500.0,1,1,0.99,252.67,12,0,South,3018.51
5285,1-15,4000.0,0,1,18.54,145.7,21,0,South,0
8774,1-15,4000.0,1,1,0.19,125.7,5,1,South,4145.45
2325,1-15,10000.0,0,0,0.39,334.01,11,0,West,3398.65
6239,1-15,8000.0,1,1,0.49,440.92,2,1,West,2690.99
7257,1-15,20000.0,1,1,0.19,628.49,5,1,0,7519.13
5277,1-15,12000.0,1,1,0.39,400.82,11,0,MidWest,4436.33
6965,1-15,20450.0,1,1,15.59,714.83,16,1,South,22803.18
1092,1-15,3500.0,1,1,0.99,116.24,10,1,East,1276.31
8372,1-15,8650.0,1,1,19.99,321.43,23,0,MidWest,3837.95
9319,1-15,20400.0,0,0,15.99,495.98,17,1,West,5437.66
8378,1-15,7200.0,1,1,16.49,254.88,18,1,West,2797.08
4306,1-15,8000.0,1,0,0.49,259.99,8,0,East,3115.22
2304,1-15,24000.0,1,0,14.31,562.31,14,1,East,6728.64
8384,1-15,4000.0,1,1,16.49,141.6,18,0,MidWest,4200.45
685,1-15,6000.0,1,1,0.19,188.55,5,0,South,2255.78
6989,1-15,30000.0,1,1,18.54,1092.72,25,1,West,11989.02
1816,1-15,6000.0,1,1,18.54,218.55,25,1,South,2610.24
6260,1-15,24000.0,1,1,0.49,735.47,2,1,West,8808.33
9318,1-15,30000.0,1,1,0.49,933.05,4,1,West,10251.07
3882,1-15,11500.0,1,0,0.99,261.61,12,0,MidWest,2861.11
4894,1-15,10000.0,1,1,14.31,343.29,14,1,East,4103.58
8346,1-15,10000.0,1,1,0.39,334.01,11,1,MidWest,3682.94
4356,1-15,15000.0,0,0,17.14,373.92,19,1,West,4472.76
6941,1-15,15000.0,1,0,19.24,391.1,22,0,East,4661.13
8327,1-15,10000.0,1,0,17.86,360.83,20,1,East,3959.21
6946,1-15,32000.0,1,1,7.524344210526315,1165.57,21,1,West,13920.92
9596,1-15,3250.0,1,1,15.59,113.61,20,0,MidWest,1357.69
4885,1-15,5000.0,0,1,0.39,167.01,11,1,West,1666.66
6211,1-15,24000.0,1,0,14.31,562.31,14,1,West,6700.02
1112,1-15,8400.0,1,1,13.66,285.71,13,0,West,3415.77
5314,1-15,21000.0,1,0,14.99,499.48,15,1,South,5493.48
636,1-15,16000.0,1,1,14.31,440.92,14,1,MidWest,6029.14
2369,1-15,5000.0,1,1,14.31,171.65,14,1,0,2051.85
2367,1-15,12000.0,1,0,13.66,277.11,13,1,0,3030.0
1780,1-15,3250.0,1,1,17.86,440.92,20,1,West,1286.75
2365,1-15,8000.0,1,0,0.19,251.4,5,1,South,2761.76
2363,1-15,15000.0,1,1,0.49,466.53,4,1,0,5125.59
6958,1-15,20225.0,1,0,16.49,497.12,18,0,South,5458.21
9591,1-15,10000.0,1,0,15.59,241.01,16,1,West,2642.45
647,1-15,24000.0,1,0,0.67,494.37,10,1,South,5920.88
8343,1-15,22000.0,1,0,19.24,573.61,22,1,South,6859.8
6959,1-15,15000.0,1,0,15.59,361.52,16,1,South,3950.74
3877,1-15,26850.0,1,0,25.83,801.21,35,1,West,32358.25
8344,1-15,5000.0,1,1,0.99,166.05,10,0,West,1823.22
6509,1-15,5600.0,1,1,0.19,175.98,5,0,West,5757.29
2464,1-15,32000.0,1,0,0.49,995.26,4,1,MidWest,11909.83
6261,1-15,35000.0,1,1,15.99,1230.33,17,1,East,0
1735,1-15,15000.0,1,0,17.86,379.76,20,1,0,4527.35
8270,1-15,4250.0,1,1,13.66,144.56,13,0,East,1731.49
1198,1-15,5000.0,0,1,0.99,440.92,3,0,South,1385.45
9251,1-15,20000.0,1,1,17.86,721.65,20,1,West,7918.31
3676,1-15,10000.0,1,0,15.99,243.13,17,1,0,2899.79
2589,1-15,24000.0,1,1,0.67,759.52,6,1,East,9102.68
8182,1-15,35000.0,1,0,15.59,843.53,16,0,East,9218.2
5458,1-15,12825.0,1,1,14.99,440.92,15,1,MidWest,4879.15
466,1-15,28000.0,0,1,15.59,978.74,16,1,East,8760.16
6112,1-15,16800.0,1,1,7.524344210526315,527.93,5,1,West,17955.35
6116,1-15,4000.0,1,0,0.99,134.76,12,0,East,4248.68
9703,1-15,30000.0,0,0,18.54,770.65,21,1,West,33314.63
7412,1-15,25000.0,1,0,0.49,537.23,8,1,East,6417.62
474,1-15,10250.0,1,0,19.24,267.25,22,0,East,0
1679,1-15,12000.0,1,0,16.49,294.96,18,1,South,3233.57
7399,1-15,35000.0,1,1,0.49,1088.56,4,1,East,13033.59
5449,1-15,20000.0,1,0,19.99,529.77,23,1,South,20133.27
9698,1-15,30000.0,1,0,24.99,880.37,29,1,East,10522.79
7391,1-15,35000.0,1,0,0.44,768.69,9,1,South,8411.1
1185,1-15,20000.0,1,0,15.99,486.26,17,1,West,22167.13
9263,1-15,28000.0,1,1,7.524344210526315,935.23,11,1,West,11174.58
6124,1-15,12000.0,1,0,13.66,277.11,13,1,South,3316.21
2565,1-15,18000.0,1,0,17.14,448.71,19,1,South,4918.67
1183,1-15,8000.0,1,1,7.524344210526315,265.68,10,1,West,8382.64
9256,1-15,12000.0,1,1,0.49,384.34,7,0,West,4596.26
1182,1-15,20000.0,1,1,0.39,668.02,11,1,MidWest,21987.35945
454,1-15,23000.0,1,1,0.39,440.92,11,1,MidWest,8434.7
6100,1-15,10250.0,1,0,23.99,294.82,27,0,South,3215.7
5501,1-15,10200.0,1,1,13.66,346.93,13,1,South,4155.42
3625,1-15,23475.0,1,0,7.524344210526315,621.82,23,1,South,7435.77
8161,1-15,5450.0,1,1,0.49,167.02,2,0,West,2002.27
6569,1-15,21000.0,1,0,15.99,510.57,17,1,South,6108.18
9732,1-15,10000.0,1,1,0.49,311.02,4,1,South,3412.9
3632,1-15,21000.0,1,1,16.49,743.39,18,1,West,22714.05
9731,1-15,10000.0,1,1,0.67,316.47,6,0,MidWest,3476.35
4443,1-15,1000.0,1,1,15.99,35.16,17,0,South,420.14
9726,1-15,5000.0,1,1,0.49,160.15,7,0,East,1916.53
3635,1-15,4500.0,1,1,0.49,440.92,8,0,South,1603.4
4432,1-15,7000.0,0,1,0.49,217.72,4,0,South,2389.09
6883,1-15,25150.0,1,1,0.99,835.22,10,1,West,0
7427,1-15,5000.0,0,1,0.49,162.49,8,1,South,1294.09
1658,1-15,21600.0,1,0,0.44,474.39,9,1,West,5678.95
9721,1-15,3500.0,1,0,0.44,115.32,9,1,South,1381.62
4811,1-15,10000.0,1,1,6.0,304.36,5,1,West,3648.97
1204,1-15,8000.0,0,1,0.99,265.68,10,0,South,2911.82
9242,1-15,18000.0,1,0,0.99,555.71,3,1,South,6651.04
9719,1-15,19200.0,0,1,13.66,653.05,13,1,West,19389.42
4434,1-15,8000.0,1,1,0.99,269.52,12,0,West,8692.4
9712,1-15,14000.0,1,1,7.524344210526315,464.94,10,1,MidWest,5105.01
8863,1-15,5600.0,1,1,0.19,175.98,5,1,West,2105.39
1657,1-15,28000.0,1,1,14.31,961.2,14,1,South,11489.88
3699,1-15,21575.0,1,1,14.99,747.8,15,1,South,8207.83
3702,1-15,6400.0,1,1,0.39,213.77,11,1,West,2554.23
6127,1-15,13000.0,1,1,7.524344210526315,431.73,10,0,South,5172.1
4401,1-15,11725.0,1,1,15.59,409.85,16,1,East,4908.04
8836,1-15,25000.0,1,1,0.49,766.12,2,1,South,9184.43
2509,1-15,22725.0,1,0,17.14,566.49,19,1,West,6209.75
9657,1-15,11200.0,0,0,19.99,296.67,23,0,West,1174.24
1711,1-15,20000.0,1,0,0.99,444.79,10,1,MidWest,5324.16
3753,1-15,10000.0,1,1,7.524344210526315,346.61,15,1,West,4138.5
6919,1-15,15000.0,1,0,0.99,341.22,12,1,South,4083.82
3762,1-15,9000.0,1,1,17.86,324.74,20,1,West,3554.28
5387,1-15,14000.0,1,0,0.99,318.48,12,1,South,0
2493,1-15,27450.0,1,0,21.99,757.99,25,1,West,8304.36
529,1-15,28000.0,1,0,0.99,636.95,12,1,South,6966.04
4394,1-15,8000.0,0,1,0.39,267.21,15,0,East,1592.25
4391,1-15,15000.0,0,0,18.54,385.33,21,0,MidWest,4593.06
1720,1-15,11200.0,1,1,13.66,440.92,13,0,West,12232.9
6163,1-15,12800.0,0,1,0.99,431.23,12,1,MidWest,0
8262,1-15,5000.0,1,1,0.99,154.37,5,0,MidWest,1850.5
4383,1-15,6000.0,1,1,0.99,202.14,12,0,East,2214.88
1148,1-15,23975.0,1,0,17.14,597.65,19,0,South,6975.08
4856,1-15,13000.0,1,1,13.66,442.17,13,1,South,5296.17
1730,1-15,24000.0,1,0,0.39,538.61,11,1,MidWest,5891.67
3781,1-15,22800.0,1,0,20.99,616.69,24,1,West,7275.59
8269,1-15,5400.0,1,1,7.524344210526315,169.7,5,0,South,2864.25
8258,1-15,21600.0,0,0,15.59,520.58,16,1,MidWest,3606.64
1705,1-15,10000.0,1,1,0.44,440.92,9,1,South,3947.4
1704,1-15,21000.0,1,1,6.0,639.15,1,1,East,7655.73
6149,1-15,15000.0,1,0,7.524344210526315,336.64,11,1,MidWest,4013.87
2552,1-15,23400.0,1,1,0.49,749.47,7,1,West,8981.3
1179,1-15,20000.0,0,1,0.49,649.96,8,1,0,7137.9
6131,1-15,12500.0,1,0,0.99,421.12,12,1,MidWest,4623.3
4830,1-15,6500.0,1,1,13.66,221.09,13,1,South,2422.12
8847,1-15,17850.0,1,0,17.86,451.92,20,1,East,5387.62
3715,1-15,25000.0,1,1,0.99,842.23,12,1,East,26429.77
8211,1-15,17000.0,1,0,0.19,346.25,5,0,East,0
5431,1-15,19400.0,1,0,20.99,524.73,24,1,South,5749.41
6138,1-15,5600.0,1,1,0.99,188.66,12,1,West,2259.88
7366,1-15,12675.0,1,0,0.44,278.38,9,1,MidWest,3324.45
505,1-15,10000.0,1,1,14.99,346.61,15,1,South,4142.66
8844,1-15,28000.0,1,1,14.99,970.5,15,1,South,11599.36
1692,1-15,15000.0,1,1,0.49,466.53,4,0,West,5582.76
5420,1-15,30000.0,1,0,15.99,729.39,17,1,South,8791.63
5419,1-15,11300.0,1,1,0.99,348.86,3,0,East,3852.89
3727,1-15,35000.0,1,0,0.49,440.92,8,1,South,8252.92
5417,1-15,18000.0,1,0,0.67,370.78,6,1,East,4069.91
5416,1-15,28000.0,1,1,6.0,852.2,1,1,East,9364.82
3728,1-15,6000.0,1,1,0.67,440.92,6,1,West,2085.79
3733,1-15,25000.0,1,1,0.99,830.24,10,1,East,9929.57
9277,1-15,5000.0,1,1,7.524344210526315,166.05,10,0,South,2675.12
3742,1-15,12000.0,1,0,15.59,289.21,16,1,MidWest,3160.52
9664,1-15,10500.0,1,0,7.524344210526315,220.47,7,1,East,11240.85
4381,1-15,20000.0,1,0,0.99,440.92,10,1,MidWest,21053.97
1820,1-15,4750.0,1,1,0.19,149.27,5,0,West,1786.92
2293,1-15,16800.0,1,0,0.44,368.97,9,1,West,4400.95
694,1-15,17400.0,0,1,0.49,565.47,8,0,East,6228.42
1900,1-15,15000.0,0,1,0.99,505.34,15,1,South,1999.71
4072,1-15,12000.0,1,1,0.19,377.09,5,0,MidWest,4514.16
1901,1-15,1500.0,1,1,0.99,50.54,12,0,South,604.32
7125,1-15,21000.0,1,0,13.66,484.94,13,1,West,0
7123,1-15,21600.0,0,0,13.66,498.8,13,1,MidWest,5969.21
1905,1-15,10000.0,1,1,0.49,320.29,7,0,South,3838.21
4087,1-15,12000.0,1,1,0.49,367.74,2,0,South,0
4089,1-15,9600.0,1,1,0.99,440.92,12,0,West,3874.11
6355,1-15,16000.0,1,0,0.39,359.08,11,1,West,4297.95
871,1-15,12000.0,1,1,0.49,389.98,8,0,MidWest,4630.18
5122,1-15,6000.0,1,1,0.49,194.99,8,1,West,6424.01
872,1-15,20000.0,1,0,0.67,411.98,6,1,South,4934.13
2078,1-15,9500.0,0,1,0.67,300.65,6,0,West,3598.65
6360,1-15,21500.0,0,0,13.66,496.49,13,1,MidWest,5428.76
7045,1-15,12000.0,1,1,19.24,441.33,22,1,East,4828.98
879,1-15,7500.0,1,1,0.99,249.08,10,0,West,8244.44
880,1-15,25000.0,1,0,19.24,651.82,25,1,South,7755.03
9448,1-15,15000.0,1,1,0.99,498.15,10,1,East,5459.67
7115,1-15,16000.0,1,0,13.66,369.48,13,0,MidWest,4409.48
4101,1-15,24000.0,1,1,0.19,754.18,5,1,West,8274.14
4219,1-15,35000.0,0,1,0.49,1137.43,8,1,East,12470.94
8667,1-15,10000.0,1,0,0.99,332.1,10,1,West,4009.7
4093,1-15,1600.0,1,1,7.524344210526315,59.46,23,1,South,709.97
886,1-15,15000.0,1,0,19.24,391.1,22,1,South,4653.12
2104,1-15,8000.0,1,1,0.39,267.21,11,1,West,2933.8
9467,1-15,18000.0,1,1,0.99,555.71,3,0,West,6654.54
2147,1-15,35000.0,1,0,21.99,966.47,25,1,East,12478.59
8482,1-15,9250.0,1,1,7.524344210526315,307.19,10,1,West,9667.54
2143,1-15,9500.0,1,1,0.49,295.47,4,0,South,3541.69
4035,1-15,6000.0,1,1,0.49,192.17,7,0,0,2110.71
4039,1-15,16000.0,1,0,14.99,380.56,15,1,South,4159.51
7158,1-15,14000.0,1,1,0.99,471.65,12,1,West,5167.94
8486,1-15,25000.0,1,0,0.67,514.97,6,1,MidWest,6155.56
2135,1-15,6000.0,1,1,0.19,188.55,5,0,West,2257.14
1023,1-15,6250.0,1,1,0.49,203.12,8,0,West,0
4046,1-15,10200.0,1,0,17.14,440.92,19,1,West,3058.51
2105,1-15,16000.0,1,1,15.59,559.28,20,1,South,6683.64
838,1-15,1200.0,1,1,13.66,40.82,13,1,0,488.93
7152,1-15,10475.0,1,0,19.99,277.47,23,1,West,3040.54
6462,1-15,8000.0,1,1,0.99,265.68,10,1,West,3174.84
1021,1-15,22500.0,1,1,0.49,720.64,7,1,West,7903.32
4056,1-15,25000.0,1,1,16.49,884.99,18,1,South,10596.98
9363,1-15,24600.0,1,0,24.99,721.9,29,1,East,29230.62
7144,1-15,20000.0,1,1,0.49,440.92,8,1,South,7787.86
847,1-15,9900.0,1,1,0.67,313.3,6,1,West,3750.06
1895,1-15,25000.0,1,1,0.49,440.92,2,1,South,8409.29
849,1-15,11000.0,1,1,0.19,345.67,5,0,South,3792.36
4068,1-15,11200.0,1,0,15.99,272.31,17,1,West,0
2129,1-15,32750.0,0,0,25.57,972.24,30,1,East,10601.59
4986,1-15,15000.0,0,1,0.67,474.7,6,1,South,5207.25
5097,1-15,3500.0,1,1,0.39,116.91,11,1,South,1283.6
2063,1-15,35000.0,1,0,14.99,832.47,15,1,East,39461.29
4201,1-15,3500.0,0,1,23.99,137.3,27,1,MidWest,1534.17
2017,1-15,35000.0,1,1,0.49,1120.99,7,1,West,13433.43
2015,1-15,25000.0,1,0,0.44,549.07,9,1,South,6572.95
5043,1-15,20925.0,1,0,0.49,439.37,7,1,West,5244.86
7092,1-15,5000.0,1,1,13.66,170.07,13,0,MidWest,0
8593,1-15,15000.0,1,1,0.99,498.15,10,1,MidWest,5509.44
978,1-15,11200.0,1,1,15.59,391.5,20,1,West,4296.8
941,1-15,20000.0,1,0,14.99,475.7,15,1,0,5729.44
9400,1-15,13600.0,1,1,0.67,430.4,6,0,South,5158.25
5032,1-15,6000.0,1,1,0.99,199.26,10,1,South,6254.18
925,1-15,15000.0,1,0,0.99,341.22,12,1,West,0
1950,1-15,14525.0,1,0,0.99,440.92,10,0,East,3857.01
1993,1-15,12425.0,1,0,17.86,314.57,20,1,East,3447.94
8633,1-15,22950.0,1,0,20.99,620.75,24,1,South,6774.73
970,1-15,17925.0,1,1,0.39,440.92,11,1,South,7172.3
4186,1-15,6325.0,1,1,0.39,211.27,11,1,South,2530.89
7076,1-15,14000.0,1,0,7.524344210526315,332.99,15,1,West,14432.98
956,1-15,12000.0,1,1,13.66,408.16,13,1,MidWest,4875.15
9389,1-15,19200.0,1,1,0.19,603.35,5,1,East,20078.15
1977,1-15,25000.0,1,1,15.59,440.92,16,1,West,25238.19
1967,1-15,32000.0,1,0,17.86,810.16,20,1,East,9658.42
5007,1-15,26050.0,1,0,19.99,690.03,23,1,East,8251.43
948,1-15,17200.0,1,0,15.99,418.18,17,1,West,4569.42
5051,1-15,24925.0,1,1,0.67,788.79,6,1,East,8652.68
4133,1-15,12000.0,1,1,0.19,377.09,5,0,South,12593.64
8577,1-15,10625.0,1,1,19.24,390.77,22,1,South,4660.85
2060,1-15,12000.0,1,0,14.99,285.42,15,1,West,3415.05
7106,1-15,14700.0,1,1,0.19,461.94,5,0,West,0
8545,1-15,35000.0,1,1,13.66,1190.45,13,0,South,36584.95
1001,1-15,30000.0,1,0,24.99,880.37,29,1,South,9642.42
4218,1-15,12850.0,0,0,25.83,383.45,32,1,West,4181.07
2054,1-15,18825.0,1,1,15.59,658.03,16,1,West,7222.03
5081,1-15,9000.0,1,1,0.49,292.48,8,0,East,3499.27
5079,1-15,8000.0,0,1,0.99,265.68,10,0,South,2917.15
8550,1-15,22000.0,1,0,0.39,493.73,11,1,MidWest,5909.62
4114,1-15,14800.0,1,1,17.14,440.92,19,1,West,5839.65
6377,1-15,4750.0,0,1,15.99,166.98,17,1,East,4974.84
9376,1-15,20000.0,1,1,13.66,680.26,13,1,0,21185.13
8653,1-15,35000.0,1,1,0.19,1099.85,5,1,West,13183.54
9426,1-15,12000.0,1,1,0.39,400.82,11,1,East,0
8652,1-15,21000.0,1,0,0.49,440.94,7,1,East,5280.21
4125,1-15,25000.0,1,1,0.49,766.12,2,1,South,9175.41
6382,1-15,11200.0,1,1,13.66,380.95,13,1,South,4584.46
7094,1-15,24000.0,1,0,14.31,562.31,14,1,South,6709.56
2031,1-15,15000.0,0,1,0.99,498.15,10,1,West,3975.21
6383,1-15,9400.0,1,1,14.31,322.69,14,0,0,3876.96
917,1-15,12000.0,1,0,18.54,308.26,21,1,South,3686.76
4992,1-15,21000.0,1,0,15.99,510.57,17,1,East,6089.53
8576,1-15,10500.0,1,1,0.39,350.71,11,1,South,3843.35
5144,1-15,20400.0,1,1,0.44,672.13,9,1,MidWest,0
826,1-15,9000.0,1,1,15.59,314.6,16,1,West,3490.96
5146,1-15,6000.0,1,1,14.99,207.97,15,1,East,2485.65
823,1-15,35000.0,0,1,15.99,1230.33,17,1,West,13041.12
725,1-15,16100.0,1,0,18.54,413.58,21,0,South,0
1835,1-15,7950.0,1,1,19.24,292.39,22,1,West,3199.29
9536,1-15,23000.0,1,0,16.49,565.33,18,1,MidWest,6197.56
3947,1-15,20000.0,1,1,13.66,680.26,13,1,South,8132.76
2260,1-15,12000.0,1,0,18.54,308.26,21,1,South,3366.14
1066,1-15,20000.0,1,0,0.44,439.25,9,1,MidWest,5239.22
9334,1-15,20000.0,1,0,15.59,482.02,16,1,MidWest,5284.9
735,1-15,30000.0,0,0,21.99,828.4,25,1,East,1565.18
5223,1-15,15250.0,1,0,25.0,454.79,31,1,South,0
737,1-15,1600.0,1,1,14.31,54.93,14,0,0,657.89
2264,1-15,16000.0,1,0,0.39,359.08,11,1,0,3938.87
9335,1-15,12000.0,1,1,6.0,365.23,1,0,MidWest,4396.85
2247,1-15,6725.0,1,1,0.99,223.34,10,1,West,6977.13
7221,1-15,25000.0,1,0,0.99,555.99,10,1,East,0
745,1-15,14000.0,1,0,13.66,323.3,13,1,East,3912.12
2239,1-15,19950.0,1,0,21.99,550.89,25,1,East,6035.42
2237,1-15,25000.0,1,1,0.49,766.12,2,1,South,8409.29
6293,1-15,24000.0,1,1,0.49,735.47,2,1,West,8808.33
1055,1-15,15000.0,1,0,0.67,308.98,6,1,0,3693.31
2233,1-15,28000.0,0,1,0.49,858.05,2,1,West,10271.36
2231,1-15,35000.0,1,0,0.99,796.18,15,1,West,8732.72
1054,1-15,35000.0,1,0,18.54,899.09,21,1,MidWest,10716.98
4931,1-15,25000.0,0,1,0.39,835.03,11,1,South,0
6482,1-15,35000.0,1,1,0.99,1162.34,10,1,MidWest,12739.11
8753,1-15,18000.0,1,1,0.49,551.61,2,0,South,6054.73
2271,1-15,3925.0,1,1,18.54,142.97,21,0,East,4308.43
4679,1-15,24000.0,1,0,16.49,589.91,18,1,East,7034.95
5251,1-15,20000.0,1,0,22.99,563.7,26,1,East,0
6263,1-15,24000.0,1,0,0.99,533.75,10,1,East,5839.28
698,1-15,15600.0,1,1,0.99,481.62,3,1,South,5291.76
6489,1-15,4400.0,1,1,0.49,140.93,10,0,West,4420.88
700,1-15,22500.0,1,1,14.99,779.86,15,1,South,0
2288,1-15,28000.0,1,1,0.99,864.44,3,1,South,11318.47
1078,1-15,10000.0,1,1,0.39,334.01,11,1,West,0
4288,1-15,20000.0,0,1,0.49,649.96,8,1,MidWest,7137.9
5245,1-15,6000.0,1,1,0.39,200.41,11,1,South,2396.66
4287,1-15,25000.0,1,1,0.99,830.24,10,1,South,25962.57
2283,1-15,10000.0,1,0,19.24,260.73,22,1,South,2857.34
1826,1-15,10400.0,1,1,0.67,440.92,6,0,West,3939.54
2278,1-15,8000.0,1,1,14.99,277.29,15,0,MidWest,3314.16
1828,1-15,2000.0,1,1,0.99,66.42,10,0,0,727.96
9333,1-15,19500.0,1,1,0.49,624.56,7,1,East,7474.16
9544,1-15,23600.0,1,0,0.49,507.14,8,1,MidWest,6058.17
6272,1-15,10000.0,1,1,0.99,332.1,10,0,West,3968.55
1071,1-15,18000.0,1,1,7.524344210526315,569.64,6,1,MidWest,6304.02
8396,1-15,4000.0,1,1,14.31,137.32,14,0,South,1641.48
6273,1-15,6225.0,1,1,13.66,211.73,13,1,South,2545.7
718,1-15,14350.0,1,0,20.99,388.14,24,1,South,4624.21
6274,1-15,10300.0,1,1,0.49,320.35,4,0,East,3839.91
6295,1-15,27750.0,0,0,19.24,723.52,22,1,MidWest,29499.57
9736,1-15,18000.0,1,0,0.49,377.95,10,1,South,4525.91
2228,1-15,5000.0,1,1,7.524344210526315,174.78,16,0,South,5019.49
2226,1-15,15000.0,0,1,15.99,527.29,17,1,East,5766.88
4021,1-15,7800.0,1,1,15.99,274.19,17,1,South,3009.16
6319,1-15,5200.0,1,1,0.19,163.41,5,1,MidWest,1807.78
9355,1-15,8000.0,1,1,0.49,256.23,7,0,West,2810.09
5169,1-15,10000.0,1,0,0.19,314.25,5,1,West,3452.2
5167,1-15,4000.0,1,1,14.99,138.65,15,1,East,1660.47
7022,1-15,35000.0,1,0,22.99,986.47,26,1,South,41913.62
6323,1-15,20000.0,0,1,17.14,714.45,19,0,MidWest,4267.66
7179,1-15,18000.0,1,0,0.19,366.62,5,1,MidWest,4391.25
4966,1-15,21000.0,1,0,0.39,471.29,11,1,East,5155.28
809,1-15,13000.0,1,1,0.19,408.52,5,0,South,13896.5
6464,1-15,10000.0,1,0,21.99,276.14,25,1,MidWest,0
4239,1-15,8000.0,1,1,0.49,245.16,2,0,East,8164.08
1890,1-15,15600.0,1,1,0.49,506.97,10,1,West,6060.91
5159,1-15,4725.0,1,1,24.0,186.62,28,0,0,2243.47
5157,1-15,24000.0,1,0,0.99,533.75,10,1,MidWest,5839.28
9482,1-15,25000.0,1,1,15.59,440.92,16,1,South,10443.25
9481,1-15,14475.0,1,0,22.99,440.92,26,1,South,4858.78
2158,1-15,25000.0,1,1,6.0,760.89,1,1,East,0
2154,1-15,14400.0,1,0,0.99,444.57,3,1,MidWest,4884.68
2152,1-15,24500.0,1,0,13.66,565.77,13,1,East,6752.05
7167,1-15,15000.0,1,0,18.54,385.33,21,1,MidWest,6594.61
9478,1-15,7850.0,1,1,18.54,285.93,21,0,East,3410.95
6326,1-15,16000.0,1,0,19.24,417.17,22,1,South,4635.88
9490,1-15,12000.0,0,0,17.86,303.81,20,1,West,3014.29
796,1-15,27975.0,1,0,26.0,838.58,35,1,South,9161.98
6466,1-15,8000.0,1,1,0.67,253.18,6,0,West,3028.53
